,NAME,ADDRESS,City,State Code,Zip Code,County,Rural Versus Urban,FTE - Employees on Payroll,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges (V + XVIII + XIX + Unknown),Total Days (V + XVIII + XIX + Unknown) + Total for all Subproviders,Number of Beds + Total for all Subproviders,Total Bed Days Available + Total for all Subproviders,Total Discharges (V + XVIII + XIX + Unknown) + Total for all Subproviders,Hospital Total Days (V + XVIII + XIX + Unknown) For Adults &amp; Peds,Hospital Number of Beds For Adults &amp; Peds,Hospital Total Bed Days Available For Adults &amp; Peds,Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults &amp; Peds,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated Care,Total Unreimbursed and Uncompensated Care,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Depreciation Cost,Total Costs,Inpatient Total Charges,Outpatient Total Charges,Combined Outpatient + Inpatient Total Charges,Wage-Related Costs (Core),Wage-Related Costs (RHC/FQHC),Total Salaries (adjusted),Contract Labor,Wage Related Costs for Part - A Teaching Physicians,Wage Related Costs for Interns and Residents,Cash on Hand and in Banks,Temporary Investments,Notes Receivable,Accounts Receivable,Less: Allowances for Uncollectible Notes and Accounts Receivable,Inventory,Prepaid Expenses,Other Current Assets,Total Current Assets,Total Fixed Assets,Investments,Other Assets,Total Other Assets,Total Assets,Accounts Payable,"Salaries, Wages, and Fees Payable",Payroll Taxes Payable,Notes and Loans Payable (Short Term),Deferred Income,Other Current Liabilities,Total Current Liabilities,Mortgage Payable,Notes Payable,Unsecured Loans,Other Long Term Liabilities,Total Long Term Liabilities,Total Liabilities,General Fund Balance,Total Fund Balances,Total Liabilities and Fund Balances,Managed Care Simulated Payments,Total IME Payment,Inpatient Revenue,Outpatient Revenue,Gross Revenue,Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio,Net Revenue from Medicaid,Medicaid Charges
39,SIOUX SAN HOSPITAL,3200 CANYON LAKE DRIVE,RAPID CITY,SD,57702,PENNINGTON,U,240,,,,,,,,,,,,,0,0,0,0,10368268,18893485,555434,9523516,0,118116,118116,1,0,10368268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29261753,-29261753,0,-29261753,0,-29261753,,0,0
40,KINDRED REHAB HOSPITAL NE HOUSTON,18839 MCKAY BLVD,HUMBLE,TX,77338,HARRIS,U,95.9,"5,833",46,"9,752",451,"5,833",46,"9,752",451,5833,46,9752,451,0,0,0,0,3838210,4679782,89398,8350523,13471958,932935,14404893,519133,0,3838210,367926,0,0,-54615,0,0,4409814,-1163944,65346,297246,0,3560591,0,0,1455000,1455000,5770961,599636,440781,25012,0,0,538244,1603673,0,0,0,3520940,3520940,5124613,646348,646348,5770961,0,0,13471958,932935,14404893,9813593,8517992,1295601,13803,1309404,0,1309404,,0,0
41,UNIVERSITY MEDICAL CENTER,1411 BADDOUR PARKWAY,LEBANON,TN,37087,WILSON,U,306.19,"10,014",170,"46,410",2542,"17,285",245,"66,885","3,447",7266,158,43134,2542,3590915,11438063,4996110,8725981,20375076,39931862,4523166,58480857,224242446,305124508,529366954,4399422,0,20375076,65196,0,0,-14087,0,0,29818086,-18524940,3103822,791830,162387,15337098,0,0,2880540,2880540,74112377,2427495,2110334,261840,354669,0,681630,71816316,0,159643,0,0,159643,71975959,2136418,2136418,74112377,4491224,0,224242446,305025889,529268335,56789948,60306938,-3516990,98455,-3418535,0,-3418535,0.11,5396348,82610401
42,TULARE REGIONAL MEDICAL CENTER,869 CHERRY STREET,TULARE,CA,93274,TULARE,U,11.37,405,108,"4,752",83,405,108,"4,752",83,401,94,4136,83,0,81990,41481,41481,1886475,5755437,291997,6439787,10810025,1918559,12728584,210612,0,1886475,246686,0,0,1276406,1896,0,12449640,-12377412,363197,527810,16014491,18256028,0,0,315823,315823,175147168,32062006,12660,0,1404613,13192572,0,46671851,110962136,0,0,0,110962136,157633987,17513181,17513181,175147168,0,0,10810025,1918559,12728584,3064592,7641912,-4577320,3567452,-1009868,0,-1009868,0.51,10551011,5913358
43,WEST TENNESSEE HEALTHCARE REHABILITA,616 WEST FOREST AVENUE,JACKSON,TN,38301,MADISON,U,118.96,"14,708",48,"17,520",1183,"14,708",48,"17,520","1,183",14708,48,17520,1183,0,0,0,0,7692082,7793529,1692769,14839496,31483865,0,31483865,0,0,7692082,0,0,0,2514935,0,0,2594364,-720341,74297,21658,0,4484913,0,0,13444957,13444957,36465708,125166,508623,0,0,0,1959379,2593168,0,0,0,17502811,17502811,20095979,16369729,16369729,36465708,0,0,31483865,0,31483865,18370533,15485611,2884922,68504,2953426,0,2953426,,0,0
44,WALTER KNOX MEMORIAL HOSPITAL,1202 EAST LOCUST,EMMETT,ID,83617,GEM,R,118.92,898,13,"4,745",197,"26,511",13,"4,745",197,567,13,4745,197,79417,1703638,1295989,1945987,10984703,8196641,956649,16834613,3659562,21846361,25505923,0,0,0,0,0,0,256074,0,0,5875411,-2753000,353687,44404,195000,3977368,0,0,331756,331756,8494910,622965,976767,0,156463,0,129000,1885195,0,0,0,413008,413008,2298203,6196707,6196707,8494910,0,0,3954562,25952175,29906737,18444044,19181344,-737300,240952,-496348,0,-496348,0.66,2496019,4718059
45,ST. JOHN REHABILITATION HOSPITAL  AN,1200 WEST ALBANY DRIVE,BROKEN ARROW,OK,74012,TULSA,U,133.53,"13,956",40,"14,600",1218,"13,956",40,"14,600","1,218",13956,40,14600,1218,0,0,0,0,9177408,8366896,1371391,16450033,31304922,189,31305111,0,0,9177408,0,0,0,3112515,0,0,2164178,-572411,64857,17959,0,4787098,0,0,11393360,11393360,33046697,2209196,533702,0,0,0,273870,3016768,0,0,0,15528010,15528010,18544778,14501919,14501919,33046697,0,0,31305112,0,31305112,19929656,17544304,2385352,42610,2427962,3,2427959,,0,0
46,EL PASO LTAC HOSPITAL,1221 N. COTTON STREET  3RD FLOOR,EL PASO,TX,79902-,EL PASO,U,53.85,"1,854",33,"12,045",114,"1,854",33,"12,045",114,1854,33,12045,114,0,0,0,0,1300044,1521292,379087,2879615,8361188,0,8361188,200844,0,1300044,0,0,0,74310,0,0,1074698,0,0,0,-134299,1011388,0,0,22500,22500,2177206,1812640,0,84881,0,0,0,1897521,0,289060,0,0,289060,2186581,-9375,-9375,2177206,0,0,8361188,0,8361188,2675580,2821336,-145756,13816,-131940,0,-131940,0.34,0,0
47,ENCOMPASS HEALTH REHABILITATION HOSP,13031 WORTHAM CENTER DRIVE,HOUSTON,TX,77065,HARRIS,U,155.43,"17,942",60,"21,900",1352,"17,942",60,"21,900","1,352",17942,60,21900,1352,0,0,0,0,10836795,11969217,344374,20591083,42380256,337293,42717549,0,0,10836795,0,0,0,4696983,0,0,3723562,-962528,83837,263586,0,7805440,0,0,5415207,5415207,14426483,611473,648048,0,0,0,1926536,3186057,0,0,0,3894664,3894664,7080721,7345762,7345762,14426483,0,0,42383511,334037,42717548,26220349,22806012,3414337,235099,3649436,1,3649435,,0,0
48,EMORY DECATUR,2701 NORTH DECATUR ROAD,DECATUR,GA,30033-,DEKALB,U,"1,901.48","13,260",392,"24,304",3091,"14,473",422,"26,164","3,223",9805,318,19716,3091,3287080,7550904,5374070,6078313,22574787,35162075,1528626,52232977,98994265,98788646,197782911,1438060,0,22574787,2395013,0,9630,20486627,0,0,151917654,-107425017,5831089,4476029,0,78949129,0,1284742,15804914,17708169,190537988,27334309,4978685,0,0,0,892923,36863254,0,92529525,0,36989199,129518724,166381978,24156010,24156010,190537988,4482480,88062,98994263,98788644,197782907,57069264,57736862,-667598,6357487,5689889,0,5689889,0.26,6448571,27376824
49,EMORY HILLANDALE HOSPITAL,2801 DEKALB MEDICAL PARKWAY,LITHONIA,GA,30058,DEKALB,U,479.44,"3,023",90,"5,580",685,"3,023",90,"5,580",685,2696,82,5084,685,1659177,5550669,2664689,2666872,5455941,6760590,450853,11138989,18603730,44314310,62918040,1056369,0,5455941,727534,0,0,23385767,0,0,61511880,-48396373,1178597,0,0,39142324,0,0,301313,301313,68946978,3607012,0,0,0,0,1971658,5578670,0,72260713,0,1432905,73693618,79272288,-10335823,-10335823,68936465,1170800,0,19748390,43173346,62921736,19752524,12216531,7535993,154223,7690216,0,7690216,0.18,1915791,9502649
50,ENCOMPASS HEALTH REHABILITATION HOSP,2121 BUSINESS CENTER DRIVE,PEARLAND,TX,77584,BRAZORIA,U,128.91,"13,924",40,"14,600",1090,"13,924",40,"14,600","1,090",13924,40,14600,1090,0,0,0,0,9676995,10083858,1439118,19298939,32671190,0,32671190,0,0,9676995,0,0,0,3979185,0,0,3371089,-646326,98296,37889,0,6840133,0,0,5422057,5422057,29625180,854763,492032,0,0,0,499161,1845956,0,0,0,4238431,4238431,6084387,23540793,23540793,29625180,0,0,32671191,0,32671191,21766546,19760853,2005693,18414,2024107,0,2024107,,0,0
51,PERHAM MEMORIAL HOSPITAL AND HOME,1000 CONEY STREET WEST,PERHAM,MN,56573,,R,283.71,"2,548",25,"9,125",868,"48,621",121,"44,165",868,2125,25,9125,868,70904,1324123,919356,3088806,26728853,31605742,4611387,43628599,24365180,58599631,82964811,0,0,0,0,0,0,2356940,10368593,0,8470898,0,918381,207810,0,22322622,0,20035821,4637411,24673232,83948429,3347852,2179306,0,1194173,0,188972,6910303,0,0,0,40364091,40364091,47274394,36674035,36674035,83948429,0,0,25677028,72414303,98091331,55356412,59658718,-4302306,4762582,460276,0,460276,0.53,4546588,12771314
52,SHARKEY-ISSAQUENA COMM HOSPITAL,108 SOUTH FOURTH STREET,ROLLING FORK,MS,39159,SHARKEY,R,78.78,"1,378",19,"5,776",133,"18,027",83,"25,232",237,563,19,5776,133,9602,847242,456940,456940,4746643,6318138,136453,10291489,6066939,13362948,19429887,589951,0,4746643,1054342,20775,0,117354,2076160,0,5165836,-3197968,160895,42868,12593,4360341,0,0,78756,78756,5887891,1282475,298743,20107,102281,0,108494,1812100,0,2074030,0,0,2074030,3886130,2001761,2001761,5887891,0,0,6168993,14228103,20397096,9564285,11064781,-1500496,585228,-915268,0,-915268,0.53,1046539,1240840
53,KPC PROMISE HOSPITAL OF VICKSBURG,2100 HIGHWAY 61 N  6TH FLOOR,VICKSBURG,MS,39180,WARREN,R,98,"2,236",35,"2,730",99,"2,236",35,"2,730",99,2236,35,2730,99,0,0,0,0,957962,1153599,1910,2035127,8008274,0,8008274,0,0,0,0,0,0,4400,0,0,7156400,-5836471,164291,1981,0,1490601,0,0,0,-585615,930451,212610,56745,33817,0,0,567038,870210,0,0,0,0,0,870210,60241,60241,930451,0,0,8008274,0,8008274,2171802,2111561,60241,0,60241,0,60241,,0,0
54,CROSSRIDGE COMMUNITY HOSPITAL,310 SOUTH FALLS BLVD,WYNNE,AR,72396-,CROSS,R,116.03,"3,095",15,"5,475",567,"19,843",15,"5,475",567,2273,15,5475,567,234600,1098501,929000,929000,6632190,9399503,295956,13591308,4584199,19274314,23858513,0,0,0,0,0,0,1276171,0,2312424,317523,107260,55854,515523,0,3787488,0,0,0,0,5769891,515565,364726,0,0,0,63796,1197699,0,0,0,0,0,1197699,4572192,4572192,5769891,0,0,4604887,21610032,26214919,12371156,16031693,-3660537,3345484,-315053,0,-315053,0.57,1045694,2113258
55,TEXAS SCOTTISH RITE HOSPITAL FOR CRI,2222 WELBORN STREET,DALLAS,TX,75219,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
56,PALM POINT BEHAVIORAL HEALTHCARE,2355 TRUMAN SCARBOROUGH WAY,TITUSVILLE,FL,32796,BREVARD,U,69.61,"6,728",74,"23,384",676,"6,728",74,"23,384",676,6728,74,23384,676,0,0,0,0,3586221,7742375,852950,6410915,14159200,182800,14342000,0,0,0,0,0,0,-28580,0,0,4011891,-3178863,21423,2376,0,834329,0,0,15313,15313,22318955,208508,200591,124722,0,0,313463,847284,0,0,0,30892374,30892374,31739658,-9420703,-9420703,22318955,0,0,14822036,182800,15004836,4236835,11328596,-7091761,15668,-7076093,0,-7076093,,0,0
57,KPC PROMISE HOSPITAL OF WICHITA FALL,1103 GRACE STREET,WICHITA FALLS,TX,76301,WICHITA,U,104,"2,060",31,"2,418",111,"2,060",31,"2,418",111,2060,31,2418,111,0,0,0,0,921866,1030739,23028,1935450,5803432,0,5803432,0,0,0,0,0,0,1835,0,0,5142566,-3485416,96791,4635,0,1763175,0,0,0,-928118,1042255,115382,71897,95960,0,0,393613,676852,0,0,0,0,0,676852,365403,365403,1042255,0,0,5803432,0,5803432,2318008,1952605,365403,0,365403,0,365403,,0,0
58,SHRINERS HOSPITAL FOR CHILDREN TAMPA,12505 USF PINE DRIVE,TAMPA,FL,33612,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
59,MONADNOCK COMMUNITY HOSPITAL,452 OLD STREET ROAD,PETERBOROUGH,NH,03458-,HILLSBOROUGH,R,496.34,"4,778",25,"9,125",1180,"11,888",25,"9,125","1,180",3415,25,9125,1180,5322856,4534271,7380371,7380371,34762155,56778915,4260495,68749769,19085804,126983295,146069099,0,0,0,0,0,0,13442283,0,89370,8907681,0,1326143,1018003,95238,25519750,0,0,74048213,74048213,136807429,7417770,2234302,19551812,777725,0,0,29981609,0,0,0,26579359,26579359,56560968,80246461,80246461,136807429,0,0,19645119,146760403,166405522,84800063,91541070,-6741007,8783123,2042116,0,2042116,0.47,330658,1072841
60,ANDROSCOGGIN VALLEY HOSPITAL,59 PAGE HILL ROAD,BERLIN,NH,03570-,COOS,R,316.73,"4,482",25,"9,125",1002,"93,749",25,"9,125","1,002",3134,25,9125,1002,491513,3569569,2427468,3432686,25365285,34222997,2366511,48304276,17005293,67281664,84286957,0,0,0,0,0,0,9284798,0,0,4387575,0,821516,742798,0,17417067,0,0,29982126,29982126,63368436,2771568,2976931,0,886288,0,0,7700841,0,6253978,0,24750940,31004918,38705759,24662677,24662677,63368436,0,0,18645701,76554702,95200403,56218594,59391849,-3173255,3020225,-153030,0,-153030,0.57,6119919,12432777
61,KPC PROMISE HOSPITAL OF OVERLAND PK,6509 W 103RD STREET,OVERLAND PARK,KS,66212,JOHNSON,U,140,"2,059",56,"4,368",86,"2,227",108,"8,424",86,2059,56,4368,86,0,0,0,0,1519722,1963608,37083,3482311,8256540,0,8256540,0,0,0,0,0,0,0,0,0,5053714,-2968214,104174,357,0,2190031,0,0,33701,-1401262,1189706,317242,154056,0,0,0,555169,1026467,0,0,0,0,0,1026467,163239,163239,1189706,0,0,8256540,0,8256540,3646569,3483330,163239,0,163239,0,163239,,0,0
62,HOPI HEALTH CENTER,HIGHWAY 264,POLACCA,AZ,86042,NAJAVO,R,240,522,6,"2,190",248,522,6,"2,190",248,522,6,2190,248,0,0,0,0,14608846,23419459,2148235,22005869,6264,125521,131785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38028305,-38028305,0,-38028305,0,-38028305,160.27,0,0
63,REHABILITATION HOSPITAL OF FT WAYNE,7970 WEST JEFFERSON BOULEVARD,FORT WAYNE,IN,46804-,ALLEN,U,110.15,"9,139",36,"13,140",695,"9,139",36,"13,140",695,9139,36,13140,695,0,0,0,0,7335408,5569852,367877,12013957,43950182,20649,43970831,0,0,0,0,0,0,-17414,0,0,3187040,-232353,9520,66854,570,3014217,0,0,572149,572149,14863821,290225,591199,75030,12300,0,197078,19919059,0,0,0,0,0,19919059,-5055238,-5055238,14863821,0,0,43950182,20649,43970831,12839536,12905260,-65724,103798,38074,0,38074,,0,0
64,NEUROBEHAVIORAL HOSPITAL  LLC,9330 BROADWAY,CROWN POINT,IN,46307,LAKE,U,79.64,"1,602",70,"4,830",77,"1,602",70,"4,830",77,1602,70,4830,77,0,0,0,0,1049312,1102675,213427,2016937,2385103,0,2385103,0,0,0,0,0,0,2386,0,0,1335270,0,32426,682851,0,2052933,0,0,10925,10925,16519187,646322,0,0,3611841,0,3202170,7460333,0,13842766,0,0,13842766,21303099,-4783912,-4783912,16519187,0,0,2385102,0,2385102,1346307,6127399,-4781092,304,-4780788,-2,-4780786,,0,0
65,COVINGTON COUNTY HOSPITAL,803 GERALD MCRANEY DRIVE,COLLINS,MS,39428,COVINGTON,R,135.67,"5,128",25,"9,125",249,"37,912",25,"9,125",249,848,25,9125,249,88939,5313481,2574602,3138772,12815023,19322844,441082,18840531,9848975,29953508,39802483,0,0,0,0,0,0,2036912,0,0,7010277,-3421241,360378,162363,0,7118514,0,0,1385455,1385455,16948939,1815351,0,0,610712,0,0,2426063,0,5511790,0,0,5511790,7937853,9011086,9011086,16948939,0,0,18167435,31401928,49569363,28335938,32137865,-3801927,3326174,-475753,0,-475753,0.47,821604,3263734
66,MEMORIAL HOSPITAL,821 JEFEE DRIVE,KERMIT,TX,79745,WINKLER,R,72,839,19,"6,935",99,"11,793",19,"6,935",99,275,19,6935,99,1953114,1518092,3116587,3124339,4222960,7987989,688240,11436998,1846043,13207967,15054010,0,0,0,0,0,0,3209413,0,0,3377025,-1994613,218550,308158,-54634,5322524,0,0,0,0,17329563,46539,350878,42739,694863,0,298946,1433965,0,6851072,0,0,6851072,8285037,9044526,9044526,17329563,0,0,1846858,13209335,15056193,6307229,12210949,-5903720,8831507,2927787,1849760,1078027,0.76,0,1071331
67,COLEMAN COUNTY MEDICAL CENTER,310 S. PECOS,COLEMAN,TX,76834,COLEMAN,R,91.91,"3,109",25,"9,125",499,"16,753",25,"9,125",499,1502,25,9125,499,1419456,575735,1690886,1690886,5201008,6191146,348798,10830717,6181518,13827632,20009150,0,0,0,0,0,0,613210,0,0,1086941,0,34353,14714,0,4013748,0,0,0,0,4623013,317003,422706,0,0,0,817248,1556957,0,313978,0,0,313978,1870935,2752078,2752078,4623013,0,0,6181519,15007120,21188639,9183070,11392154,-2209084,3344409,1135325,0,1135325,0.54,865430,1974485
68,BAYPOINTE BEHAVIORAL HEALTH,5800 SOUTHLAND DRIVE,MOBILE,AL,36693-3313,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
69,FORT BELKNAP HEALTH CENTER,RR1,HARLEM,MT,59523,BLAINE,R,130,25,6,"2,190",15,25,6,"2,190",15,25,6,2190,15,0,0,0,0,8135409,19093304,648017,11365836,250,62937,63187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27228713,-27228713,0,-27228713,0,-27228713,,0,0
70,BERTIE MEMORIAL HOSPITAL,1403 SOUTH KING STREET,WINDSOR,NC,27983,BERTIE,R,103.78,"1,454",6,"2,190",393,"11,895",6,"2,190",393,1454,6,2190,393,447071,4296989,2677438,3014841,7761595,10450511,809098,17943445,5892492,35293893,41186385,0,0,0,0,0,0,9750976,0,0,5487669,-2188163,436560,72145,1281,13876749,0,0,0,0,19881354,968836,1141209,0,0,0,1863552,3973597,0,0,0,1257147,1257147,5230744,14650610,14650610,19881354,0,0,5965799,35220585,41186384,20149843,18212106,1937737,372047,2309784,3078737,-768953,0.44,1816041,4919897
71,CHOWAN HOSPITAL INC.,211 VIRGINIA AVENUE,EDENTON,NC,27932,CHOWAN,R,267.6,"5,756",25,"9,125",1541,"5,756",25,"9,125","1,541",4090,21,7665,1541,21136,11911869,4160457,4201254,15921524,30308911,2036752,43339870,37086659,89092432,126179091,0,0,0,0,0,0,3139840,0,0,19422478,-9713506,2003059,35467,0,20111838,0,0,1870226,1870226,38826813,3593659,2953184,0,0,0,3715717,10262560,0,0,0,9775381,9775381,20037941,18788872,18788872,38826813,0,0,37700692,90353697,128054389,59070926,52253889,6817037,1120811,7937848,0,7937848,0.34,6957046,18643654
72,THE OUTER BANKS HOSPITAL,4800 S. CROATAN HWY,NAGS HEAD,NC,27959,DARE,R,272.96,"3,052",21,"7,665",1158,"3,052",21,"7,665","1,158",2439,21,7665,1158,60101,15270233,5395351,5420141,18576691,35071326,2688175,50355043,20767956,125129212,145897168,0,0,0,0,0,0,35194612,0,0,23773372,-11083635,1634410,171394,0,98090445,0,0,4365720,4365720,127778513,2437149,2580139,0,0,0,2087177,7104465,0,0,0,425335,425335,7529800,120248713,120248713,127778513,0,0,22209473,130110717,152320190,81991794,61185366,20806428,1903833,22710261,0,22710261,0.35,5339210,13421808
73,CAH ACQUISITION COMPANY #7 LLC,1322 KLAZUBA AVENUE,PRAGUE,OK,74864,POTTAWATOMIE,R,16.24,"1,936",25,"9,125",49,"7,834",25,"9,125",49,126,25,9125,49,3197,269804,142079,142079,2054467,5316011,184671,6598996,4566155,8253652,12819807,0,0,0,0,0,0,1519765,0,0,6843602,0,-92306,0,0,8271061,0,0,0,0,8281842,3512239,218462,0,0,0,0,3730701,0,0,0,0,0,3730701,4551141,4551141,8281842,0,0,4560664,8678005,13238669,6417612,7370478,-952866,139998,-812868,0,-812868,0.51,0,0
74,CAH #12 - FAIRFAX,HWY 18 & TAFT,TULSA,OK,74637,OSAGE,U,13.89,867,15,"5,475",33,"5,618",15,"5,475",33,102,15,5475,33,14087,98691,93528,93528,1346625,4913204,20916,5551312,2466719,4429765,6896484,0,0,0,0,0,0,233303,0,0,985109,0,6837,0,0,1225249,0,0,0,0,1225249,3525396,132646,0,0,0,0,3658042,0,0,0,0,0,3658042,-2432793,-2432793,1225249,0,0,2468937,4975494,7444431,-508806,6259829,-6768635,35551,-6733084,0,-6733084,0.8,0,0
75,MULESHOE AREA MEDICAL CENTER,708 SOUTH FIRST STREET,MULESHOE,TX,79347-3627,BAILEY,R,64.84,"1,416",25,"9,125",162,"10,098",25,"9,125",162,511,25,9125,162,1007460,517328,1317349,1317349,3684825,5040612,313889,8463043,2066880,10073407,12140287,0,0,0,0,0,0,712065,0,0,2416453,-1829349,86072,44110,1077075,2506426,0,0,0,0,2901523,105686,299655,0,292623,439228,94165,1231357,0,169737,0,339421,509158,1740515,1161008,1161008,2901523,0,0,2066880,11362061,13428941,7158292,8725437,-1567145,2271008,703863,0,703863,0.7,393344,1761050
76,MEMORIAL HERMANN REHAB HOSP KATY,21720 KINGSLAND BLVD 102,KATY,TX,77450,HARRIS,U,141.92,"10,303",35,"12,775",800,"10,303",35,"12,775",800,10303,35,12775,800,0,0,0,0,11525961,14736719,1946991,26967927,36979981,57390544,94370525,0,0,0,0,0,0,16134273,0,0,3177040,0,24107,150397,0,19485172,0,0,26086397,26086397,50605991,1955754,464112,0,0,0,187042,2606908,0,9615510,0,13883686,23499196,26106104,24499887,24499887,50605991,0,0,37075369,58922664,95998033,27444106,26262665,1181441,1726363,2907804,0,2907804,,0,0
77,WASHINGTON COUNTY HOSPITAL,ST. STEPHENS AVENUE,CHATOM,AL,36518,WASHINGTON,R,79,"2,364",15,"5,475",286,"31,260",103,"37,595",286,907,15,5475,286,13002,1405245,773871,773871,5679872,7697633,262195,12888224,11124234,10622573,21746807,0,0,0,0,0,0,4177777,63558,0,2603515,-1480059,128995,0,278205,5771991,0,0,0,0,8397514,233208,515828,0,33336,0,450000,1232372,0,80538,0,0,80538,1312910,7084604,7084604,8397514,0,0,10537715,10693405,21231120,15776042,14902959,873083,954009,1827092,0,1827092,0.59,1038283,1699135
78,STEELE MEMORIAL MEDICAL CENTER,203 S. DAISY STREET,SALMON,ID,83467-,LEMHI,R,131.85,"1,242",18,"6,570",350,"57,022",18,"6,570",350,836,18,6570,350,0,1096951,650597,1157550,11513036,16294768,1355298,23513009,6681674,32280320,38961994,0,0,0,0,0,0,4957220,0,0,4676239,0,1022176,134569,380210,11856848,0,0,1875723,1875723,28511705,957583,1353315,0,765213,0,103121,3179232,0,10321765,0,0,10321765,13500997,15010708,15010708,28511705,0,0,7307378,36417163,43724541,25741710,27807804,-2066094,1106833,-959261,0,-959261,0.6,1527458,3396876
79,RIVERVIEW HEALTHCARE ASSOCIATION,123 SOUTH MINNESOTA,CROOKSTON,MN,56716-,POLK,R,244.57,"2,509",30,"10,950",796,"48,436",54,"19,710",796,1863,25,9125,796,182613,1217800,1110654,4106112,30047212,31217170,2007419,53448618,27435722,71288941,98724663,0,0,0,0,0,0,5707691,0,0,10806658,-2061239,1103515,255251,1792017,17603936,0,53680249,11098565,64778814,96318554,3730837,4051987,0,1198166,0,2101075,11082065,0,372816,0,59639136,60011952,71094017,25224537,25224537,96318554,0,0,29042079,76440955,105483034,56896336,61264382,-4368046,3079909,-1288137,0,-1288137,0.54,4604271,14037412
80,KIMBLE HOSPITAL,349 REID RD,JUNCTION,TX,76849-3024,KIMBLE,R,63.93,551,15,"5,475",78,"5,988",15,"5,475",78,235,15,5475,78,1122401,695525,1615518,1615518,3290316,4351859,874307,8868638,701565,9299624,10001189,0,0,0,0,0,0,569824,0,0,2132985,-1239559,103762,39120,0,4322794,0,0,147217,147217,4740668,114626,227297,34599,0,523539,81710,1850473,0,70349,0,1028675,1099024,2949497,1791171,1791171,4740668,0,0,649810,10130622,10780432,6522193,7642175,-1119982,2611306,1491324,2748,1488576,0.89,2272349,929554
81,PUTNAM GENERAL HOSPITAL,101 LAKE OCONEE PARKWAY,EATONTON,GA,31024-,PUTNAM,R,105.44,"3,502",25,"9,125",259,"3,502",25,"9,125",259,870,25,9125,259,30064,1611505,770695,782104,5304779,12572458,556983,13298484,5307610,23281253,28588863,0,0,0,0,0,0,1618236,0,0,12793945,-9436002,288418,0,36096,5300693,0,98833,570675,669508,9574731,891617,2162287,0,936239,0,0,3990143,0,23802,0,4140103,4163905,8154048,1420683,1420683,9574731,0,0,5050343,40279642,45329985,16477924,17877237,-1399313,2417024,1017711,0,1017711,0.47,1004969,2608932
82,PHYSICIANS HOSPITAL AT ANADARKO,1002 EAST CENTRAL BLVD,ANADARKO,OK,73005-,CADDO,R,126.4,"6,485",25,"9,125",179,"6,485",25,"9,125",179,539,25,9125,179,8536,1376875,1104564,1104564,13309907,51866333,57075,59359241,27657024,38408521,66065545,0,0,0,0,0,0,128500,0,0,15857462,-8093604,248351,164698,-234481,8068839,0,0,0,0,12157716,92670693,0,0,665430,0,2510,93338633,0,16847143,0,0,16847143,110185776,-98028060,-98028060,12157716,0,0,27888308,40020151,67908459,48491782,65176240,-16684458,101440,-16583018,0,-16583018,0.9,1074605,4726849
83,COLLINGSWORTH GENERAL HOSPITAL,1013 15TH STREET,WELLINGTON,TX,79095-,COLLINGSWORTH,R,48.08,813,13,"4,745",107,"6,121",13,"4,745",107,318,13,4745,107,753234,213327,918536,918536,3038878,4169839,485729,7394908,1104256,3943288,5047544,0,0,0,0,0,0,651333,0,11577,543795,0,94157,43362,685000,2721167,0,0,0,1381,3028784,247697,185096,42235,0,128366,945883,1549277,0,0,0,1500,1500,1550777,1478007,1478007,3028784,0,0,1104256,4322465,5426721,5701866,7208717,-1506851,1608129,101278,34985,66293,1.47,342940,528372
